,Issue key,Resolved,Issue Type
0,TRP-2014,24/Jul/19 11:53 AM,Task
1,TRP-1941,23/Jul/19 10:35 AM,Story
2,TRP-2023,22/Jul/19 3:12 PM,Bug
3,TRP-1819,22/Jul/19 2:48 PM,Story
4,TRP-1931,22/Jul/19 9:08 AM,Story
5,TRP-2011,19/Jul/19 1:56 PM,Task
6,TRP-2015,16/Jul/19 2:33 PM,Sub-task
7,TRP-1955,16/Jul/19 2:20 PM,Story
8,TRP-1970,10/Jul/19 11:46 AM,Bug
9,TRP-1897,08/Jul/19 11:25 AM,Story
10,TRP-1929,05/Jul/19 12:01 PM,Story
11,TRP-1961,04/Jul/19 11:57 AM,Task
12,TRP-1940,03/Jul/19 4:14 PM,Bug
13,TRP-1714,02/Jul/19 6:04 PM,Story
14,TRP-1939,02/Jul/19 3:17 PM,Story
15,TRP-1937,02/Jul/19 2:39 PM,Bug
16,TRP-1592,01/Jul/19 4:29 PM,Bug
17,TRP-1439,01/Jul/19 11:55 AM,Task
18,TRP-1361,01/Jul/19 11:53 AM,Task
19,TRP-1891,01/Jul/19 10:15 AM,Story
20,TRP-1930,28/Jun/19 11:01 AM,Story
21,TRP-1948,27/Jun/19 3:23 PM,Bug
22,TRP-1934,27/Jun/19 10:39 AM,Story
23,TRP-1926,21/Jun/19 12:41 PM,Story
24,TRP-1899,19/Jun/19 6:19 PM,Task
25,TRP-1717,19/Jun/19 4:14 PM,Story
26,TRP-1918,19/Jun/19 2:17 PM,Task
27,TRP-1895,19/Jun/19 1:23 PM,Task
28,TRP-1903,19/Jun/19 12:14 PM,Story
29,TRP-1548,19/Jun/19 11:36 AM,Story
30,TRP-1725,18/Jun/19 9:32 AM,Epic
31,TRP-1888,17/Jun/19 10:34 AM,Story
32,TRP-1734,17/Jun/19 10:33 AM,Story
33,TRP-1881,17/Jun/19 10:31 AM,Sub-task
34,TRP-1878,17/Jun/19 10:30 AM,Story
35,TRP-1782,17/Jun/19 10:30 AM,Story
36,TRP-1731,17/Jun/19 10:06 AM,Task
37,TRP-1825,14/Jun/19 12:20 PM,Story
38,TRP-1760,13/Jun/19 6:29 PM,Epic
39,TRP-1466,13/Jun/19 6:28 PM,Epic
40,TRP-1458,13/Jun/19 6:27 PM,Epic
41,TRP-1377,13/Jun/19 6:27 PM,Epic
42,TRP-1326,13/Jun/19 6:23 PM,Epic
43,TRP-1735,10/Jun/19 10:42 AM,Story
44,TRP-1880,06/Jun/19 5:18 PM,Story
45,TRP-1836,06/Jun/19 9:50 AM,Task
46,TRP-1646,04/Jun/19 12:37 PM,Task
47,TRP-1412,03/Jun/19 4:22 PM,Story
48,TRP-1870,30/May/19 12:16 PM,Bug
49,TRP-1859,28/May/19 11:29 AM,Task
50,TRP-1855,28/May/19 11:29 AM,Bug
51,TRP-1839,28/May/19 11:29 AM,Story
52,TRP-1832,20/May/19 12:27 PM,Task
53,TRP-1831,20/May/19 12:03 PM,Task
54,TRP-1773,20/May/19 11:37 AM,Story
55,TRP-1665,20/May/19 10:37 AM,Story
56,TRP-1674,16/May/19 4:11 PM,Sub-task
